from,to,from_id,to_id,outflow 17-24,outflow 24-may1,above normal_0,outflow 17-24,outflow 24-may1,above normal_5,outflow 17-24,outflow 24-may1,above normal_10,outflow 17-24,outflow 24-may1,above normal_15,outflow 17-24,outflow 24-may1,above normal_20
Baglung,Salyan,2,60,16,26,10,16,26,10,16,26,10,16,26,10,16,26,10
Baglung,Sankhuwasabha,2,61,4,6,2,4,6,2,4,6,2,4,6,2,4,6,2
Baglung,Saptari,2,62,13,26,13,13,26,13,13,26,13,13,26,13,13,26,13
Baglung,Sarlahi,2,63,16,40,24,16,40,24,16,40,24,16,40,24,16,40,24
Baglung,Sindhuli,2,64,14,27,13,14,27,13,14,27,13,14,27,13,14,27,13
Baglung,Sindhupalchok,2,65,7,10,3,7,10,3,7,10,3,7,10,3,7,10,3
Baglung,Siraha,2,66,13,19,6,13,19,6,13,19,6,13,19,6,13,19,6
Baglung,Solukhumbu,2,67,2,2,0,2,2,0,2,2,0,2,2,0,2,2,0
Baglung,Sunsari,2,68,23,35,12,23,35,12,23,35,12,23,35,12,23,35,12
Baglung,Surkhet,2,69,39,44,5,39,44,5,39,44,5,39,44,5,39,44,5
Baglung,Syangja,2,70,288,429,141,288,429,141,288,429,141,286,422,136,253,349,96
Baglung,Tanahu,2,71,155,232,77,155,232,77,155,232,77,155,232,77,155,232,77
Baglung,Taplejung,2,72,1,0,-1,1,0,-1,1,0,-1,1,0,-1,1,0,-1
Baglung,Terhathum,2,73,1,7,6,1,7,6,1,7,6,1,7,6,1,7,6
Baglung,Udayapur,2,74,23,24,1,23,24,1,23,24,1,23,24,1,23,24,1
Baitadi,Achham,3,0,10,10,0,10,10,0,10,10,0,10,10,0,10,10,0
Baitadi,Arghakhanchi,3,1,6,6,0,6,6,0,6,6,0,6,6,0,6,6,0
Baitadi,Baglung,3,2,2,1,-1,2,1,-1,2,1,-1,2,1,-1,2,1,-1
Baitadi,Baitadi,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
